,Hauptbereiche,Leistungsbereiche,Kürzel,Leistungsgruppen,"Insel, Insel Gruppe AG","Tiefenau, Insel Gruppe AG","Münsingen, Insel Gruppe AG","Aarberg, Insel Gruppe AG","Riggisberg, Insel Gruppe AG","Beau-Site, Hirslanden Bern AG","Permanence, Hirslanden Bern AG","Salem, Hirslanden Bern AG","Lindenhof, Lindenhof AG","Sonnenhof, Lindenhof AG","Engeried, Lindenhof AG","Gümligen, Siloah AG","Gümligen, Swiss Medical Network Hospitals SA","Bern, Stiftung Diaconis","Oster- mundigen, GH
Luna AG","Interlaken, Spitäler fmi AG","Frutigen, Spitäler fmi AG","Thun, STS AG","Zweisimmen, STS AG","Thun, Klinik Hohmad AG","Zweisimmen, GH Materinité Alpine","Burgdorf, RSE AG","Langnau, RSE AG","Langenthal, SRO AG","Biel, SZB AG","Biel, Hirslanden Klinik Linde AG Biel","Tschugg, Bethesda","St-Imier, Hôpital du Jura bernois SA","Moutier, Hôpital de Moutier SA","Delémont, Hôpital du Jura SA","Bürger- spital Solothurn, SoH AG","Fond. ""La Chrysalide"", Hôpital neuchâtelois","Pourtalès, Hôpital neuchâtelois","La-Chaux-de- Fonds, Hôpital neuchâtelois"
4,Basis,Basispaket,BP,Basispaket Chirurgie und Innere Medizin,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,,TRUE,TRUE
5,Basis,Basispaket,BPE,Basispaket für elektive Leistungserbringer,,,,,,,,,,,,,,,,,,,,TRUE,,,,,,,,,,,,,,
6,Nervensystem & Sinnesorgane,Dermatologie,DER1,Dermatologie (inkl. Geschlechtskrankheiten),"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)",,,,,,,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",,,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",
7,Nervensystem & Sinnesorgane,Dermatologie,DER1.1,Dermatologische Onkologie,TRUE,,,,,,,,"befristet
(30.06.2020)",,,,,,,,,"befristet
(30.06.2021)",,,,"befristet
(30.06.2021)","befristet
(30.06.2021)",,,TRUE,,,,,,,,
8,Nervensystem & Sinnesorgane,Dermatologie,DER1.2,Schwere Hauterkrankungen,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Nervensystem & Sinnesorgane,Dermatologie,DER2,Wundpatienten,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",,"befristet
(30.04.2024)",,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,,"befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)","befristet
(30.04.2024)",,"befristet
(30.04.2024)",,,
10,Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1,Hals-Nasen-Ohren (HNO-Chirurgie),TRUE,TRUE,TRUE,,TRUE,TRUE,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,
11,Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.1,Hals- und Gesichtschirurgie,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,
12,Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.1.1,"Komplexe Halseingriffe (Interdisziplinäre
Tumorchirurgie)",TRUE,,,,,,,,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,
13,Nervensystem & Sinnesorgane,Hals-Nasen-Ohren,HNO1.2,Erweiterte Nasenchirurgie mit Nebenhöhlen,TRUE,TRUE,TRUE,,TRUE,,TRUE,TRUE,TRUE,,TRUE,,TRUE,,,TRUE,,TRUE,,,,TRUE,TRUE,TRUE,TRUE,TRUE,,,,TRUE,TRUE,,,
